drug_a,drug_b,interaction_type,severity,mechanism_action,clinical_recommendation
dabigatran,naproxen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
dabigatran,diclofenac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
dabigatran,ketorolac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
dabigatran,celecoxib,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
heparin,aspirin,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
heparin,clopidogrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
heparin,ticagrelor,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
heparin,prasugrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
heparin,ibuprofen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
heparin,naproxen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
heparin,diclofenac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
heparin,ketorolac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
heparin,celecoxib,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
lisinopril,spironolactone,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
lisinopril,eplerenone,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
lisinopril,potassium chloride,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
lisinopril,trimethoprim,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
enalapril,spironolactone,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
enalapril,eplerenone,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
enalapril,potassium chloride,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
enalapril,trimethoprim,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
losartan,spironolactone,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
losartan,eplerenone,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
losartan,potassium chloride,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
losartan,trimethoprim,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
valsartan,spironolactone,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
valsartan,eplerenone,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
valsartan,potassium chloride,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
valsartan,trimethoprim,interacts_with,high,Combined RAAS or potassium-retaining effect can increase serum potassium and worsen renal function.,Check K and Cr within recommended interval; avoid if K is high or renal function is unstable.
azithromycin,clarithromycin,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
azithromycin,levofloxacin,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
azithromycin,moxifloxacin,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
azithromycin,amiodarone,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
azithromycin,sotalol,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
azithromycin,haloperidol,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
azithromycin,ondansetron,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
azithromycin,citalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
azithromycin,escitalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
clarithromycin,levofloxacin,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
clarithromycin,moxifloxacin,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
clarithromycin,amiodarone,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
clarithromycin,sotalol,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
clarithromycin,haloperidol,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
clarithromycin,ondansetron,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
clarithromycin,citalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
clarithromycin,escitalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
levofloxacin,moxifloxacin,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
levofloxacin,amiodarone,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
levofloxacin,sotalol,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
levofloxacin,haloperidol,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
levofloxacin,ondansetron,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
levofloxacin,citalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
levofloxacin,escitalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
moxifloxacin,amiodarone,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
moxifloxacin,sotalol,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
moxifloxacin,haloperidol,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
moxifloxacin,ondansetron,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
moxifloxacin,citalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
moxifloxacin,escitalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
amiodarone,sotalol,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
amiodarone,haloperidol,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
amiodarone,ondansetron,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
amiodarone,citalopram,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
amiodarone,escitalopram,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
sotalol,haloperidol,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
sotalol,ondansetron,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
sotalol,citalopram,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
sotalol,escitalopram,interacts_with,critical,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
haloperidol,ondansetron,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
haloperidol,citalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
haloperidol,escitalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
ondansetron,citalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
ondansetron,escitalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
citalopram,escitalopram,interacts_with,high,"Combined QT-prolonging agents may increase torsades de pointes risk, especially with low K or Mg.",Avoid if possible; obtain ECG and electrolytes if combination is clinically necessary.
simvastatin,clarithromycin,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
simvastatin,erythromycin,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
simvastatin,itraconazole,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
simvastatin,ketoconazole,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
simvastatin,ritonavir,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
simvastatin,diltiazem,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
simvastatin,verapamil,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
simvastatin,amiodarone,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
simvastatin,gemfibrozil,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
atorvastatin,clarithromycin,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
atorvastatin,erythromycin,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
atorvastatin,itraconazole,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
atorvastatin,ketoconazole,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
atorvastatin,ritonavir,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
atorvastatin,diltiazem,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
atorvastatin,verapamil,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
atorvastatin,amiodarone,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
atorvastatin,gemfibrozil,interacts_with,high,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
rosuvastatin,clarithromycin,interacts_with,medium,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
rosuvastatin,erythromycin,interacts_with,medium,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
rosuvastatin,itraconazole,interacts_with,medium,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
rosuvastatin,ketoconazole,interacts_with,medium,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
rosuvastatin,ritonavir,interacts_with,medium,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
rosuvastatin,diltiazem,interacts_with,medium,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
rosuvastatin,verapamil,interacts_with,medium,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
rosuvastatin,amiodarone,interacts_with,medium,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
rosuvastatin,gemfibrozil,interacts_with,medium,CYP or transporter inhibition may raise statin exposure and increase myopathy or rhabdomyolysis risk.,"Hold or reduce statin, choose alternative antibiotic, and monitor muscle symptoms and CK if indicated."
morphine,diazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
morphine,lorazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
morphine,alprazolam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
morphine,clonazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
morphine,zolpidem,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
oxycodone,diazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
oxycodone,lorazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
oxycodone,alprazolam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
oxycodone,clonazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
oxycodone,zolpidem,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
hydromorphone,diazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
hydromorphone,lorazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
hydromorphone,alprazolam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
hydromorphone,clonazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
hydromorphone,zolpidem,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
tramadol,diazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
tramadol,lorazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
tramadol,alprazolam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
tramadol,clonazepam,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
tramadol,zolpidem,interacts_with,critical,Additive CNS and respiratory depression risk.,"Avoid routine co-prescribing; use lowest dose, monitor sedation/RR/SpO2, and provide naloxone education when appropriate."
